# Potential function.
#  r             r*V(r)
   1.655860E-01 -2.264356E+01
   1.666981E-01 -2.256759E+01
   1.678102E-01 -2.249192E+01
   1.689223E-01 -2.241655E+01
   1.700344E-01 -2.234146E+01
   1.711465E-01 -2.226667E+01
   1.722586E-01 -2.219217E+01
   1.736603E-01 -2.209868E+01
   1.750619E-01 -2.200565E+01
   1.764636E-01 -2.191308E+01
   1.778652E-01 -2.182095E+01
   1.792669E-01 -2.172928E+01
   1.806686E-01 -2.163806E+01
   1.820702E-01 -2.154729E+01
   1.827711E-01 -2.150206E+01
   1.834719E-01 -2.145695E+01
   1.848736E-01 -2.136707E+01
   1.862752E-01 -2.127762E+01
   1.876769E-01 -2.118861E+01
   1.890785E-01 -2.110003E+01
   1.904802E-01 -2.101189E+01
   1.918819E-01 -2.092418E+01
   1.932835E-01 -2.083690E+01
   1.946852E-01 -2.075005E+01
   1.960869E-01 -2.066362E+01
   1.974885E-01 -2.057761E+01
   1.988902E-01 -2.049203E+01
   2.002918E-01 -2.040687E+01
   2.016935E-01 -2.032212E+01
   2.030952E-01 -2.023779E+01
   2.044968E-01 -2.015387E+01
   2.051977E-01 -2.011206E+01
   2.058985E-01 -2.007036E+01
   2.073002E-01 -1.998726E+01
   2.087018E-01 -1.990456E+01
   2.101035E-01 -1.982228E+01
   2.115051E-01 -1.974039E+01
   2.129068E-01 -1.965891E+01
   2.143085E-01 -1.957782E+01
   2.157101E-01 -1.949713E+01
   2.171118E-01 -1.941684E+01
   2.179951E-01 -1.936644E+01
   2.188784E-01 -1.931620E+01
   2.197617E-01 -1.926611E+01
   2.206451E-01 -1.921618E+01
   2.215284E-01 -1.916640E+01
   2.224117E-01 -1.911677E+01
   2.241783E-01 -1.901798E+01
   2.250616E-01 -1.896881E+01
   2.259450E-01 -1.891980E+01
   2.268283E-01 -1.887094E+01
   2.277116E-01 -1.882222E+01
   2.294782E-01 -1.872525E+01
   2.312448E-01 -1.862887E+01
   2.321282E-01 -1.858091E+01
   2.330115E-01 -1.853309E+01
   2.338948E-01 -1.848542E+01
   2.347781E-01 -1.843790E+01
   2.356614E-01 -1.839052E+01
   2.365447E-01 -1.834329E+01
   2.374281E-01 -1.829621E+01
   2.383114E-01 -1.824927E+01
   2.400780E-01 -1.815583E+01
   2.409613E-01 -1.810933E+01
   2.418446E-01 -1.806297E+01
   2.427280E-01 -1.801675E+01
   2.436113E-01 -1.797067E+01
   2.444946E-01 -1.792474E+01
   2.453779E-01 -1.787895E+01
   2.462612E-01 -1.783330E+01
   2.471445E-01 -1.778779E+01
   2.480278E-01 -1.774242E+01
   2.489112E-01 -1.769720E+01
   2.497945E-01 -1.765211E+01
   2.506778E-01 -1.760716E+01
   2.515611E-01 -1.756235E+01
   2.524444E-01 -1.751768E+01
   2.542111E-01 -1.742875E+01
   2.550944E-01 -1.738449E+01
   2.559777E-01 -1.734036E+01
   2.568610E-01 -1.729638E+01
   2.577443E-01 -1.725253E+01
   2.586276E-01 -1.720881E+01
   2.595109E-01 -1.716523E+01
   2.603943E-01 -1.712178E+01
   2.612776E-01 -1.707847E+01
   2.630442E-01 -1.699225E+01
   2.648108E-01 -1.690656E+01
   2.665775E-01 -1.682140E+01
   2.674608E-01 -1.677901E+01
   2.683441E-01 -1.673676E+01
   2.701107E-01 -1.665264E+01
   2.709941E-01 -1.661078E+01
   2.718774E-01 -1.656905E+01
   2.727607E-01 -1.652744E+01
   2.736440E-01 -1.648596E+01
   2.747573E-01 -1.643387E+01
   2.758706E-01 -1.638198E+01
   2.769839E-01 -1.633029E+01
   2.780973E-01 -1.627880E+01
   2.792106E-01 -1.622751E+01
   2.803239E-01 -1.617642E+01
   2.814372E-01 -1.612553E+01
   2.825505E-01 -1.607484E+01
   2.847772E-01 -1.597405E+01
   2.858905E-01 -1.592394E+01
   2.870038E-01 -1.587403E+01
   2.881171E-01 -1.582432E+01
   2.892304E-01 -1.577480E+01
   2.903437E-01 -1.572547E+01
   2.914571E-01 -1.567634E+01
   2.925704E-01 -1.562739E+01
   2.936837E-01 -1.557864E+01
   2.947970E-01 -1.553007E+01
   2.959103E-01 -1.548169E+01
   2.970236E-01 -1.543351E+01
   2.981370E-01 -1.538550E+01
   2.992503E-01 -1.533769E+01
   3.003636E-01 -1.529006E+01
